attester,data,recipient,txid,id,time,timeCreated
0xaA098E5c9B002F815d7c9756BCfce0fC18B3F362,0x00000000000000000000000096babe8595ed944b01499200b7cfd230f8db3558000000000000000000000000f8590ccb6c0d7069f61e397beeb7c0f931b6fc0d000000000000000000000000000000000000000000000000000000000000002200000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab100000000000000000000000000000000000000000000000000011ed0889c0744000000000000000000000000801a1ece6f1bdcd89111751071bead9a4018cbd4,0x96BAbe8595ed944B01499200B7Cfd230f8db3558,0x2f6211a8d0ee41bfced8c1762231dd9f4ba5c86fc879496ff0db52d90118f6d9,0xf25e75f744b914d4f711bf87a4eb16f97c012d32e016f7cdc30d8c672ef54f67,1713196770,1713196816
0xaA098E5c9B002F815d7c9756BCfce0fC18B3F362,0x00000000000000000000000096babe8595ed944b01499200b7cfd230f8db3558000000000000000000000000f8590ccb6c0d7069f61e397beeb7c0f931b6fc0d000000000000000000000000000000000000000000000000000000000000002200000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab10000000000000000000000000000000000000000000000000000492cbcf1ad88000000000000000000000000801a1ece6f1bdcd89111751071bead9a4018cbd4,0x96BAbe8595ed944B01499200B7Cfd230f8db3558,0x002a63c5bfd237f16d750259e350c9ec9a131b5314b46cf44303958cfce0d3ea,0x81fac5f2bd6161211e6f7f680ec89e61f7e3d76cad4039fd85935ed6d52be649,1713256530,1713256530
0xaA098E5c9B002F815d7c9756BCfce0fC18B3F362,0x00000000000000000000000096babe8595ed944b01499200b7cfd230f8db3558000000000000000000000000f8590ccb6c0d7069f61e397beeb7c0f931b6fc0d000000000000000000000000000000000000000000000000000000000000002200000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab10000000000000000000000000000000000000000000000000000496bf24527c0000000000000000000000000cad97616f91872c02ba3553db315db4015cbe850,0x96BAbe8595ed944B01499200B7Cfd230f8db3558,0x993eb40ce1552b6dd773c0b8b6b270ad7ddbd6a90ca3527dcac9e2210b3c5cf3,0xa943e03a1a0173509bc76feccdf131bb39f14e18bd33701d50e00ba77b6102b5,1713271556,1713271557
0xaA098E5c9B002F815d7c9756BCfce0fC18B3F362,0x00000000000000000000000096babe8595ed944b01499200b7cfd230f8db3558000000000000000000000000f8590ccb6c0d7069f61e397beeb7c0f931b6fc0d000000000000000000000000000000000000000000000000000000000000002200000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab10000000000000000000000000000000000000000000000000001273abe81cfdb000000000000000000000000801a1ece6f1bdcd89111751071bead9a4018cbd4,0x96BAbe8595ed944B01499200B7Cfd230f8db3558,0xb9aa12f63ea27e84db29e8e8e009a02786c6232c7d1860bf1fe340914eb878b1,0xb2e1be2d5225b703005126097e54ea4b87d8ad56d47e909628ea2a5f3958a9fb,1713457502,1713457503
0xaA098E5c9B002F815d7c9756BCfce0fC18B3F362,0x00000000000000000000000096babe8595ed944b01499200b7cfd230f8db3558000000000000000000000000f8590ccb6c0d7069f61e397beeb7c0f931b6fc0d000000000000000000000000000000000000000000000000000000000000002200000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab1000000000000000000000000000000000000000000000000000135472ab61db7000000000000000000000000cad97616f91872c02ba3553db315db4015cbe850,0x96BAbe8595ed944B01499200B7Cfd230f8db3558,0x8217afc9fd7563090c12a5cd4fb2f0e8cc20de14dbf1b7bc60c53620e7786783,0x6cef3578e3f3f91fbfae5739944c891b274384250a60c2d8867ea7cc97315186,1713457925,1713457926
0xaA098E5c9B002F815d7c9756BCfce0fC18B3F362,0x000000000000000000000000eebf48360c333407076f4a8191017bd30a88af560000000000000000000000008c8c259579e596b7bdb2bbc3e17d1b8d71e7a56d000000000000000000000000000000000000000000000000000000000000001900000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab10000000000000000000000000000000000000000000000000001289f3ff10a9200000000000000000000000041ee28ee05341e7fdddc8d433ba66054cd302ca1,0xeebF48360C333407076F4a8191017Bd30a88af56,0x26b6b7d89b7ddc81e0885a37fd52301b89f434dd3f62e34206b2e47d2f9c54fc,0x9e6fbf0ef8af3034a20cbbe978e1be5bc473a11b86a10ad80c5d7c3228f2c47e,1715118213,1715118241
0xaA098E5c9B002F815d7c9756BCfce0fC18B3F362,0x000000000000000000000000cce9a28b570946123f392cf1dbfa6d2d5e636a1f000000000000000000000000b71335d629d165ebd081fa3879dd8a54c58b5193000000000000000000000000000000000000000000000000000000000000001a00000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab10000000000000000000000000000000000000000000000000001289f3ff10a9200000000000000000000000041ee28ee05341e7fdddc8d433ba66054cd302ca1,0xcCE9A28b570946123f392Cf1DbfA6D2D5e636a1f,0xe5ec4c7546c99dda5c1f2bf78f4329211f0ab60c87be8302ef55679b27d00153,0x00dc9f867631830a08670ebbacc42d818eb2b1c8331234ce2ae70e7252a044de,1715118240,1715118241
0xaA098E5c9B002F815d7c9756BCfce0fC18B3F362,0x000000000000000000000000cce9a28b570946123f392cf1dbfa6d2d5e636a1f000000000000000000000000e9da9d6b646c693b0651c7926e4666c924c4d01a000000000000000000000000000000000000000000000000000000000000001b00000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab10000000000000000000000000000000000000000000000000001289f3ff10a9200000000000000000000000007ae8551be970cb1cca11dd7a11f47ae82e70e67,0xcCE9A28b570946123f392Cf1DbfA6D2D5e636a1f,0x0fccff1a4ffb8ca040715ca14524054cefe784a3752bc2c91a2edac5a91cf448,0xe2f066dad314b32d7389874d3ac7db79c10741adf2d8629568b82888b8444558,1715118293,1715118301
0xaA098E5c9B002F815d7c9756BCfce0fC18B3F362,0x00000000000000000000000096babe8595ed944b01499200b7cfd230f8db35580000000000000000000000008c8c259579e596b7bdb2bbc3e17d1b8d71e7a56d000000000000000000000000000000000000000000000000000000000000001900000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab10000000000000000000000000000000000000000000000000001ab13d241ab12000000000000000000000000cad97616f91872c02ba3553db315db4015cbe850,0x96BAbe8595ed944B01499200B7Cfd230f8db3558,0x8fcb12a27a908857b98e0a8d5ccd5275b20ecd1cd8c7331cd9904371fcaf70d5,0xeb97e574b8bc16b1ef1d719f60c6392879c9c6e6c29c9cc1b1cd7c1b6178d6b2,1713875553,1713875555
0xaA098E5c9B002F815d7c9756BCfce0fC18B3F362,0x0000000000000000000000005abca791c22e7f99237fcc04639e094ffa0ccce90000000000000000000000008c8c259579e596b7bdb2bbc3e17d1b8d71e7a56d000000000000000000000000000000000000000000000000000000000000001900000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab100000000000000000000000000000000000000000000000000011c76cbeb84e900000000000000000000000041ee28ee05341e7fdddc8d433ba66054cd302ca1,0x5ABca791C22E7f99237fCC04639E094Ffa0cCce9,0xf74f39f16aacf92136d44af6afafa5186d51ccba51defdb1289963c3742de57b,0xff92688b5033980549721d99db7058ebb4be1f656c630afa8425b516de573902,1713879358,1713879412
